date_sold,price,first_seen,last_seen,external_id,floor_area,exterior_area,garden_area,terrace_area,balcony_area,layout,project_name,developer_name
3/25/2023 1:00,229301.00,1/27/2023,3/24/2023,9427d8d112512aed30c0f48489240c1f,53.7,{9.34},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",LAYOUT_2,Project 1,Developer 1
3/25/2023 1:00,204653.00,11/4/2022,3/24/2023,42b4e3b39c87348fe58a8666c9a6db97,51.0,{11.00},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",LAYOUT_2,Project 2,Developer 2
3/26/2023 1:00,261241.00,1/20/2023,3/27/2023,6f606ea16e825a4068ac3a35b277eb72,62.5,{3.89},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",LAYOUT_3,Project 3,Developer 3
3/26/2023 1:00,196109.00,1/20/2023,3/27/2023,f953609c4d0434f4c48d110ca3972068,48.6,{3.96},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",LAYOUT_2,Project 4,Developer 3
3/26/2023 1:00,476273.00,1/20/2023,3/27/2023,2903dac1291a3f40e4542e17c3d67f4e,85.4,{4.94},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",LAYOUT_3,Project 5,Developer 3
3/26/2023 1:00,268905.00,1/20/2023,4/1/2023,d2d359e18f99fb7ad499041e05ee7f81,62.4,{3.95},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",LAYOUT_3,Project 4,Developer 3
3/27/2023 2:00,222192.00,11/11/2022,3/25/2024,9df44a76b461bbe1a6541868d2d71c9e,49.11,{2.98},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",LAYOUT_2,Project 6,Developer 4
3/27/2023 2:00,219264.00,11/20/2022,3/25/2024,6fff4272b0eece5c0434180be5e91528,42.53,{3.24},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",LAYOUT_2,Project 6,Developer 4
3/28/2023 2:00,1363750.00,9/22/2022,3/11/2024,42fec65621c63dee1406cadd1cfaaeff,98.39,{32.29},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",LAYOUT_4,Project 7,Developer 5
3/28/2023 2:00,261241.00,1/20/2023,3/27/2023,6f606ea16e825a4068ac3a35b277eb72,62.5,{3.89},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",LAYOUT_3,Project 3,Developer 3
3/28/2023 2:00,196109.00,1/20/2023,3/27/2023,f953609c4d0434f4c48d110ca3972068,48.6,{3.96},{0.00},"{0.00,0.00}","{0.00,0.00,0.00}",LAYOUT_2,Project 4,Developer 3
